File,Variable ,Code value,Code description
EXPD,ALLOC,0,Not allocated or topcoded
FMLD,CHILDAGE,0,No children
MEMD,CU_CODE1,0,Unmarried partner
EXPD,PUB_FLAG,0,UCC is published
FMLD,EDUC_REF,00,Never attended
FMLD,EDUCA2,00,Never attended
FMLD,HIGH_EDU,00,No schooling completed or less than 1 year
FMLD,NETRENTB,00,Loss
MEMD,SMPFRMB,00,Loss
MEMD,WAGEB,00,Loss
MEMD,BSNSB,00,Loss
MEMD,EDUCA,00,Never attended
MEMD,FARMB,00,Loss
FMLD,HIGH_EDU,00,Never attended
FMLD,OTHLOSSB,00,Loss
FMLD,ROOMLOSB,00,Loss
FMLD,EDUC_REF,00,Never attended
MEMD,EDUCA,00,Never attended
FMLD,EDUCA2,00,Never attended
EXPD,UCC,001000,"Purchase price of stocks, bonds, mutual funds"
DTAB,UCC,001000,"Purchase price of stocks, bonds or mutual funds including broker fees"
EXPD,UCC,001100,Precious metals
EXPD,UCC,001200,Miscellaneous investments
EXPD,UCC,001200,Miscellaneous investments
EXPD,UCC,001200,Miscellaneous investments
EXPD,UCC,001400,Employment counseling & fees
EXPD,UCC,002000,Savings account deposit
EXPD,UCC,002100,"Insurance other than health, hospital, vehicle and property"
EXPD,UCC,002200,Retirement plans
EXPD,UCC,004000,Contributions
EXPD,UCC,004100,Cash gifts
EXPD,UCC,004190,Gifts not specified
EXPD,UCC,005000,Alimony and child support
EXPD,UCC,009000,Mortgage payment including coop
EXPD,UCC,009900,Property assessment
FMLD,DESCRIP,01,"House, apartment, or flat (HOUSING UNIT)"
EXPD,EXPNMO,01,January
FMLD,INTRDVB,01,$0-$999
FMLD,LUMPB,01,$0-$999
FMLD,NETRENTB,01,$0-$999
FMLD,OCCULIS1,01,"Administrator, manager"
FMLD,OCCULIS2,01,"Administrator, manager"
MEMD,OCCULIST,01,"Administrator, Manager"
FMLD,OTHINB,01,$0-$999
FMLD,OTHREGB,01,$0-$999
FMLD,RETSURVB,01,$0-$999
FMLD,ROYESTB,01,$0-$999
MEMD,SMPFRMB,01,"$0-$4,999"
FMLD,STATE,01,Alabama
MEMD,SUPPB,01,$0-$999
